Date,Nifty50 Index Value,Nifty SmallCap 250 Index
2005-12-14 00:00:00,2805.0,1521.0
2005-12-15 00:00:00,2779.0,1509.0
2005-12-16 00:00:00,2810.0,1516.0
2005-12-19 00:00:00,2843.0,1522.0
2005-12-20 00:00:00,2826.0,1516.0
2005-12-21 00:00:00,2823.0,1518.0
2005-12-22 00:00:00,2835.0,1520.0
2005-12-23 00:00:00,2805.0,1508.0
2005-12-26 00:00:00,2750.0,1476.0
2005-12-27 00:00:00,2806.0,1502.0
2005-12-28 00:00:00,2794.0,1506.0
2005-12-29 00:00:00,2822.0,1524.0
2005-12-30 00:00:00,2837.0,1538.0
2006-01-02 00:00:00,2836.0,1562.0
2006-01-03 00:00:00,2883.0,1592.0
2006-01-04 00:00:00,2904.0,1599.0
2006-01-05 00:00:00,2900.0,1597.0
2006-01-06 00:00:00,2914.0,1609.0
2006-01-09 00:00:00,2910.0,1617.0
2006-01-10 00:00:00,2871.0,1605.0
2006-01-12 00:00:00,2851.0,1612.0
2006-01-13 00:00:00,2851.0,1623.0
2006-01-16 00:00:00,2833.0,1610.0
2006-01-17 00:00:00,2829.0,1596.0
2006-01-18 00:00:00,2809.0,1580.0
2006-01-19 00:00:00,2871.0,1621.0
2006-01-20 00:00:00,2901.0,1632.0
2006-01-23 00:00:00,2884.0,1636.0
2006-01-24 00:00:00,2908.0,1648.0
2006-01-25 00:00:00,2940.0,1637.0
2006-01-27 00:00:00,2983.0,1640.0
2006-01-30 00:00:00,2975.0,1616.0
2006-01-31 00:00:00,3001.0,1616.0
2006-02-01 00:00:00,2972.0,1591.0
2006-02-02 00:00:00,2967.0,1590.0
2006-02-03 00:00:00,2941.0,1587.0
2006-02-06 00:00:00,3000.0,1598.0
2006-02-07 00:00:00,3020.0,1597.0
2006-02-08 00:00:00,3009.0,1600.0
2006-02-10 00:00:00,3028.0,1614.0
2006-02-13 00:00:00,3041.0,1632.0
2006-02-14 00:00:00,3018.0,1622.0
2006-02-15 00:00:00,3022.0,1625.0
2006-02-16 00:00:00,3022.0,1630.0
2006-02-17 00:00:00,2982.0,1607.0
